,ds,opt,randomseed,cls,resampling,grp,gmean,config,cls_grp,cls_resampler
45,new-thyroid1,TPE,18,SVM,SMOTENC,Over Resampling,0.997202659436654,"{'classifier': {'C': 36.480995221748465, 'coef0': 0.551354346370921, 'degree': 4, 'gamma': 'scale', 'gamma_value': 2.517556708664174, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 18, 'shrinking': False, 'tol': 0.006591026869056189}, 'sub': {'categorical_features': True, 'k_neighbors': 7, 'random_state': 18, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",SVM-Over Resampling,SVM-SMOTENC
46,glass2,TPE,18,LR,BorderlineSMOTE,Over Resampling,0.8502493967479813,"{'classifier': {'C': 72.34655602767137, 'l1_ratio': 0.87726134816207, 'name': 'LR', 'penalty_solver': 'l1+liblinear', 'random_state': 18, 'tol': 0.02851628829682766}, 'sub': {'k_neighbors': 6, 'kind': 'borderline-2', 'm_neighbors': 5, 'random_state': 18, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}",LR-Over Resampling,LR-BorderlineSMOTE
47,glass4,TPE,18,SVM,RandomUnderSampler,Under Resampling,0.9476798939538656,"{'classifier': {'C': 28.14146167870133, 'coef0': -0.6596258626741562, 'degree': 2, 'gamma': 'auto', 'gamma_value': 4.835976872023263, 'kernel': 'sigmoid', 'name': 'SVM', 'probability': False, 'random_state': 18, 'shrinking': False, 'tol': 0.05233808110399944}, 'sub': {'random_state': 18, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",SVM-Under Resampling,SVM-RandomUnderSampler
48,iris0,TPE,18,DTC,EditedNearestNeighbours,Under Resampling,1.0,"{'classifier': {'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 14, 'min_samples_split': 7, 'name': 'DTC', 'random_state': 18}, 'sub': {'kind_sel': 'all', 'n_neighbors': 7, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",DTC-Under Resampling,DTC-EditedNearestNeighbours
49,ecoli-0-1-3-7_vs_2-6,TPE,27,SVM,OneSidedSelection,Under Resampling,0.9325798996789494,"{'classifier': {'C': 43.005767328002065, 'coef0': -0.6840060385572275, 'degree': 3, 'gamma': 'scale', 'gamma_value': 3.0608596811271687, 'kernel': 'linear', 'name': 'SVM', 'probability': False, 'random_state': 27, 'shrinking': False, 'tol': 0.0730444533188278}, 'sub': {'n_neighbors': 1, 'n_seeds_S': 12, 'random_state': 27, 'smo_grp': 'UNDER', 'type': 'OneSidedSelection'}}",SVM-Under Resampling,SVM-OneSidedSelection
50,glass-0-1-6_vs_2,TPE,18,SVM,CondensedNearestNeighbour,Under Resampling,0.8840031649082274,"{'classifier': {'C': 19.09695252325417, 'coef0': 0.649305026091159, 'degree': 2, 'gamma': 'value', 'gamma_value': 7.806940783808728, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 18, 'shrinking': False, 'tol': 0.09806270973122709}, 'sub': {'n_neighbors': 17, 'n_seeds_S': 12, 'random_state': 18, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",SVM-Under Resampling,SVM-CondensedNearestNeighbour
51,glass4,TPE,27,SVM,NearMiss,Under Resampling,0.9174151643290334,"{'classifier': {'C': 131.65788929219568, 'coef0': -0.2177070440289059, 'degree': 2, 'gamma': 'value', 'gamma_value': 1.8795601914286417, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 27, 'shrinking': True, 'tol': 0.011670071873932823}, 'sub': {'n_neighbors': 4, 'n_neighbors_ver3': 11, 'smo_grp': 'UNDER', 'type': 'NearMiss', 'version': 1}}",SVM-Under Resampling,SVM-NearMiss
52,shuttle-c2-vs-c4,TPE,27,RF,TomekLinks,Under Resampling,1.0,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100, 'name': 'RF', 'random_state': 27}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}",RF-Under Resampling,RF-TomekLinks
53,glass2,TPE,27,SVM,RandomUnderSampler,Under Resampling,0.8440723744488882,"{'classifier': {'C': 15.722219083827298, 'coef0': -0.9018879954453447, 'degree': 4, 'gamma': 'value', 'gamma_value': 4.650639870265973, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 27, 'shrinking': True, 'tol': 0.01235561911589197}, 'sub': {'random_state': 27, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",SVM-Under Resampling,SVM-RandomUnderSampler
54,ecoli2,TPE,18,KNN,EditedNearestNeighbours,Under Resampling,0.9369310608434857,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 29, 'name': 'KNN', 'p': 0, 'random_state': 18, 'weights': 'distance'}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 9, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",KNN-Under Resampling,KNN-EditedNearestNeighbours
